JobTitle	Skill	MalePercentage
advertising and promotions managers	Manage operations, research, or logistics projects.	43,1
advertising and promotions managers	Prepare financial documents, reports, or budgets.	43,1
advertising and promotions managers	Negotiate sales or lease agreements for products or services.	43,1
advertising and promotions managers	Attend training sessions or professional meetings to develop or maintain professional knowledge.	43,1
advertising and promotions managers	Evaluate employee performance.	43,1
advertising and promotions managers	Develop marketing plans or strategies.	43,1
advertising and promotions managers	Develop procedures to evaluate organizational activities.	43,1
advertising and promotions managers	Direct organizational operations, projects, or services.	43,1
advertising and promotions managers	Prepare operational budgets.	43,1
advertising and promotions managers	Conduct employee training programs.	43,1
advertising and promotions managers	Coordinate operational activities with external stakeholders.	43,1
advertising and promotions managers	Advise customers on technical or procedural issues.	43,1
advertising and promotions managers	Develop marketing plans or strategies for environmental initiatives.	43,1
advertising and promotions managers	Conduct market research.	43,1
advertising and promotions managers	Develop promotional materials.	43,1
advertising and promotions managers	Supervise employees.	43,1
advertising and promotions managers	Manage organizational or project budgets.	43,1
advertising and promotions managers	Promote products, services, or programs.	43,1
advertising and promotions managers	Analyze market research data.	43,1
advertising and promotions managers	Confer with organizational members to accomplish work activities.	43,1
advertising and promotions managers	Analyze data to assess operational or project effectiveness.	43,1
advertising and promotions managers	Direct financial operations.	43,1
advertising and promotions managers	Establish interpersonal business relationships to facilitate work activities.	43,1
advertising and promotions managers	Monitor performance of organizational members or partners.	43,1
advertising and promotions managers	Maintain knowledge of current developments in area of expertise.	43,1
advertising and promotions managers	Direct sales, marketing, or customer service activities.	43,1
advertising and promotions managers	Analyze forecasting data to improve business decisions.	43,1
advertising and promotions managers	Implement organizational process or policy changes.	43,1
administrative services managers	Confer with managers to make operational decisions.	58
administrative services managers	Manage human resources activities.	58
administrative services managers	Analyze data to inform operational decisions or activities.	58
administrative services managers	Prepare operational progress or status reports.	58
administrative services managers	Establish standards for products, processes, or procedures.	58
administrative services managers	Evaluate information related to legal matters in public or personal records.	58
administrative services managers	Supervise clerical or administrative personnel.	58
administrative services managers	Maintain records, documents, or other files.	58
administrative services managers	Direct administrative or support services.	58
administrative services managers	Prepare operational budgets.	58
administrative services managers	Conduct employee training programs.	58
administrative services managers	Maintain current knowledge related to work activities.	58
administrative services managers	Read documents to gather technical information.	58
administrative services managers	Develop organizational policies or programs.	58
administrative services managers	Prepare employee work schedules.	58
administrative services managers	Communicate technical information to suppliers, contractors, or regulatory agencies.	58
administrative services managers	Manage inventories of products or organizational resources.	58
administrative services managers	Respond to customer problems or complaints.	58
administrative services managers	Select resources needed to accomplish tasks.	58
administrative services managers	Purchase materials, equipment, or other resources.	58
administrative services managers	Develop organizational goals or objectives.	58
administrative services managers	Recommend organizational process or policy changes.	58
administrative services managers	Hire personnel.	58
computer and information systems managers	Manage operations, research, or logistics projects.	71,3
computer and information systems managers	Analyze data to inform operational decisions or activities.	71,3
computer and information systems managers	Determine resource needs.	71,3
computer and information systems managers	Prepare operational progress or status reports.	71,3
computer and information systems managers	Evaluate employee performance.	71,3
computer and information systems managers	Direct organizational operations, projects, or services.	71,3
computer and information systems managers	Coordinate operational activities with external stakeholders.	71,3
computer and information systems managers	Conduct employee training programs.	71,3
computer and information systems managers	Advise customers on technical or procedural issues.	71,3
computer and information systems managers	Develop organizational policies or programs.	71,3
computer and information systems managers	Develop operating strategies, plans, or procedures.	71,3
computer and information systems managers	Manage organizational or project budgets.	71,3
computer and information systems managers	Analyze data to determine project feasibility.	71,3
computer and information systems managers	Confer with organizational members to accomplish work activities.	71,3
computer and information systems managers	Recruit personnel.	71,3
computer and information systems managers	Maintain knowledge of current developments in area of expertise.	71,3
computer and information systems managers	Purchase materials, equipment, or other resources.	71,3
computer and information systems managers	Develop organizational goals or objectives.	71,3
computer and information systems managers	Recommend organizational process or policy changes.	71,3
computer and information systems managers	Resolve employee or contractor problems.	71,3
computer and information systems managers	Hire personnel.	71,3
computer and information systems managers	Develop computer or information systems.	71,3
financial managers	Analyze risks to minimize losses or damages.	46,5
financial managers	Approve expenditures.	46,5
financial managers	Prepare operational progress or status reports.	46,5
financial managers	Prepare financial documents, reports, or budgets.	46,5
financial managers	Negotiate sales or lease agreements for products or services.	46,5
financial managers	Direct organizational operations, projects, or services.	46,5
financial managers	Coordinate operational activities with external stakeholders.	46,5
financial managers	Develop operating strategies, plans, or procedures.	46,5
financial managers	Supervise employees.	46,5
financial managers	Analyze financial records to improve budgeting or planning.	46,5
financial managers	Monitor flow of cash or other resources.	46,5
financial managers	Analyze financial records to improve efficiency.	46,5
financial managers	Communicate organizational information to customers or other stakeholders.	46,5
financial managers	Direct financial operations.	46,5
financial managers	Analyze financial records or reports to determine state of operations.	46,5
financial managers	Establish interpersonal business relationships to facilitate work activities.	46,5
financial managers	Prepare reports related to compliance matters.	46,5
financial managers	Recruit personnel.	46,5
financial managers	Maintain regulatory or compliance documentation.	46,5
financial managers	Analyze forecasting data to improve business decisions.	46,5
financial managers	Recommend organizational process or policy changes.	46,5
financial managers	Determine pricing or monetary policies.	46,5
human resources managers	Represent the organization in external relations.	25,3
human resources managers	Coordinate special events or programs.	25,3
human resources managers	Negotiate labor disputes.	25,3
human resources managers	Manage human resources activities.	25,3
human resources managers	Analyze data to inform operational decisions or activities.	25,3
human resources managers	Investigate industrial or transportation accidents.	25,3
human resources managers	Negotiate sales or lease agreements for products or services.	25,3
human resources managers	Analyze data to inform personnel decisions.	25,3
human resources managers	Prepare operational budgets.	25,3
human resources managers	Estimate labor requirements.	25,3
human resources managers	Communicate organizational policies and procedures.	25,3
human resources managers	Conduct employee training programs.	25,3
human resources managers	Liaise between departments or other groups to improve function or communication.	25,3
human resources managers	Maintain personnel records.	25,3
human resources managers	Supervise employees.	25,3
human resources managers	Administer compensation or benefits programs.	25,3
human resources managers	Interview employees, customers, or others to collect information.	25,3
human resources managers	Compile operational data.	25,3
human resources managers	Recruit personnel.	25,3
human resources managers	Maintain knowledge of current developments in area of expertise.	25,3
human resources managers	Prepare reports related to compliance matters.	25,3
human resources managers	Advise others on legal or regulatory compliance matters.	25,3
human resources managers	Recommend organizational process or policy changes.	25,3
human resources managers	Hire personnel.	25,3
human resources managers	Advise others on career or personal development.	25,3
industrial production managers	Approve expenditures.	77,6
industrial production managers	Analyze data to inform operational decisions or activities.	77,6
industrial production managers	Prepare operational progress or status reports.	77,6
industrial production managers	Develop specifications for new products or processes.	77,6
industrial production managers	Prepare operational reports.	77,6
industrial production managers	Negotiate sales or lease agreements for products or services.	77,6
industrial production managers	Monitor external affairs or events affecting business operations.	77,6
industrial production managers	Evaluate employee performance.	77,6
industrial production managers	Direct organizational operations, projects, or services.	77,6
industrial production managers	Prepare operational budgets.	77,6
industrial production managers	Conduct employee training programs.	77,6
industrial production managers	Maintain personnel records.	77,6
industrial production managers	Develop operating strategies, plans, or procedures.	77,6
industrial production managers	Monitor organizational procedures to ensure proper functioning.	77,6
industrial production managers	Supervise employees.	77,6
industrial production managers	Develop organizational methods or procedures.	77,6
industrial production managers	Implement design or process improvements.	77,6
industrial production managers	Respond to emergencies to provide assistance.	77,6
industrial production managers	Confer with organizational members to accomplish work activities.	77,6
industrial production managers	Conduct environmental audits.	77,6
industrial production managers	Maintain knowledge of current developments in area of expertise.	77,6
industrial production managers	Direct sales, marketing, or customer service activities.	77,6
industrial production managers	Direct facility maintenance or repair activities.	77,6
industrial production managers	Direct operational or production activities.	77,6
industrial production managers	Maintain regulatory or compliance documentation.	77,6
industrial production managers	Recommend organizational process or policy changes.	77,6
industrial production managers	Implement organizational process or policy changes.	77,6
industrial production managers	Hire personnel.	77,6
industrial production managers	Manage control system activities in organizations.	77,6
industrial production managers	Evaluate quality of materials or products.	77,6
industrial production managers	Design industrial processing systems.	77,6
purchasing managers	Analyze data to inform operational decisions or activities.	57,2
purchasing managers	Examine financial records to ensure compliance with policies or regulations.	57,2
purchasing managers	Schedule product or material transportation.	57,2
purchasing managers	Develop specifications for new products or processes.	57,2
purchasing managers	Negotiate sales or lease agreements for products or services.	57,2
purchasing managers	Prepare financial documents, reports, or budgets.	57,2
purchasing managers	Prepare operational budgets.	57,2
purchasing managers	Conduct employee training programs.	57,2
purchasing managers	Prepare forms or applications.	57,2
purchasing managers	Coordinate with external parties to exchange information.	57,2
purchasing managers	Develop organizational policies or programs.	57,2
purchasing managers	Develop operating strategies, plans, or procedures.	57,2
purchasing managers	Supervise employees.	57,2
purchasing managers	Interview employees, customers, or others to collect information.	57,2
purchasing managers	Analyze data to assess operational or project effectiveness.	57,2
purchasing managers	Direct financial operations.	57,2
purchasing managers	Implement transportation changes to reduce environmental impact.	57,2
purchasing managers	Maintain operational records.	57,2
purchasing managers	Implement organizational process or policy changes.	57,2
purchasing managers	Resolve employee or contractor problems.	57,2
purchasing managers	Hire personnel.	57,2
transportation storage and distribution managers	Approve expenditures.	82,7
transportation storage and distribution managers	Monitor activities of individuals to ensure safety or compliance with rules.	82,7
transportation storage and distribution managers	Analyze data to inform operational decisions or activities.	82,7
transportation storage and distribution managers	Examine financial records to ensure compliance with policies or regulations.	82,7
transportation storage and distribution managers	Monitor organizational compliance with regulations.	82,7
transportation storage and distribution managers	Monitor inventories of products or materials.	82,7
transportation storage and distribution managers	Direct organizational operations, projects, or services.	82,7
transportation storage and distribution managers	Prepare operational budgets.	82,7
transportation storage and distribution managers	Conduct employee training programs.	82,7
transportation storage and distribution managers	Resolve customer complaints or problems.	82,7
transportation storage and distribution managers	Negotiate contracts for transportation, distribution, or logistics services.	82,7
transportation storage and distribution managers	Inspect condition or functioning of facilities or equipment.	82,7
transportation storage and distribution managers	Develop operating strategies, plans, or procedures.	82,7
transportation storage and distribution managers	Monitor organizational procedures to ensure proper functioning.	82,7
transportation storage and distribution managers	Supervise employees.	82,7
transportation storage and distribution managers	Analyze financial records to improve budgeting or planning.	82,7
transportation storage and distribution managers	Analyze financial records to improve efficiency.	82,7
transportation storage and distribution managers	Interview employees, customers, or others to collect information.	82,7
transportation storage and distribution managers	Confer with organizational members to accomplish work activities.	82,7
transportation storage and distribution managers	Advise others on business or operational matters.	82,7
transportation storage and distribution managers	Monitor performance of organizational members or partners.	82,7
transportation storage and distribution managers	Implement transportation changes to reduce environmental impact.	82,7
transportation storage and distribution managers	Purchase materials, equipment, or other resources.	82,7
transportation storage and distribution managers	Develop safety standards, policies, or procedures.	82,7
transportation storage and distribution managers	Plan facility layouts or designs.	82,7
transportation storage and distribution managers	Analyze forecasting data to improve business decisions.	82,7
transportation storage and distribution managers	Develop emergency response plans or procedures.	82,7
transportation storage and distribution managers	Document organizational or operational procedures.	82,7
transportation storage and distribution managers	Implement organizational process or policy changes.	82,7
transportation storage and distribution managers	Maintain operational records.	82,7
transportation storage and distribution managers	Hire personnel.	82,7
transportation storage and distribution managers	Develop operating strategies, plans, or procedures for green or sustainable operations.	82,7
farmers ranchers and other agricultural managers	Perform manual service or maintenance tasks.	75,5
farmers ranchers and other agricultural managers	Analyze data to inform operational decisions or activities.	75,5
farmers ranchers and other agricultural managers	Determine resource needs.	75,5
farmers ranchers and other agricultural managers	Manage agricultural or forestry operations.	75,5
farmers ranchers and other agricultural managers	Monitor organizational compliance with regulations.	75,5
farmers ranchers and other agricultural managers	Negotiate sales or lease agreements for products or services.	75,5
farmers ranchers and other agricultural managers	Direct administrative or support services.	75,5
farmers ranchers and other agricultural managers	Develop marketing plans or strategies.	75,5
farmers ranchers and other agricultural managers	Direct organizational operations, projects, or services.	75,5
farmers ranchers and other agricultural managers	Conduct employee training programs.	75,5
farmers ranchers and other agricultural managers	Manage construction activities.	75,5
farmers ranchers and other agricultural managers	Advise customers on technical or procedural issues.	75,5
farmers ranchers and other agricultural managers	Evaluate quality of plants or crops.	75,5
farmers ranchers and other agricultural managers	Negotiate contracts for transportation, distribution, or logistics services.	75,5
farmers ranchers and other agricultural managers	Direct activities of agricultural, forestry, or fishery employees.	75,5
farmers ranchers and other agricultural managers	Develop organizational policies or programs.	75,5
farmers ranchers and other agricultural managers	Inspect condition or functioning of facilities or equipment.	75,5
farmers ranchers and other agricultural managers	Maintain personnel records.	75,5
farmers ranchers and other agricultural managers	Supervise employees.	75,5
farmers ranchers and other agricultural managers	Analyze financial records to improve budgeting or planning.	75,5
farmers ranchers and other agricultural managers	Develop agricultural methods.	75,5
farmers ranchers and other agricultural managers	Submit financial applications.	75,5
farmers ranchers and other agricultural managers	Perform manual agricultural, aquacultural, or horticultural tasks.	75,5
farmers ranchers and other agricultural managers	Monitor operational quality or safety.	75,5
farmers ranchers and other agricultural managers	Compile operational data.	75,5
farmers ranchers and other agricultural managers	Prepare reports related to compliance matters.	75,5
farmers ranchers and other agricultural managers	Purchase materials, equipment, or other resources.	75,5
farmers ranchers and other agricultural managers	Direct sales, marketing, or customer service activities.	75,5
farmers ranchers and other agricultural managers	Maintain regulatory or compliance documentation.	75,5
farmers ranchers and other agricultural managers	Develop emergency response plans or procedures.	75,5
farmers ranchers and other agricultural managers	Maintain operational records.	75,5
farmers ranchers and other agricultural managers	Examine animals to detect illness, injury or other problems.	75,5
farmers ranchers and other agricultural managers	Hire personnel.	75,5
farmers ranchers and other agricultural managers	Estimate labor or resource requirements for forestry, fishing, or agricultural operations.	75,5
farmers ranchers and other agricultural managers	Test materials, solutions, or samples.	75,5
construction managers	Investigate industrial or transportation accidents.	90
construction managers	Evaluate green operations or programs for compliance with standards or regulations.	90
construction managers	Develop environmental remediation or protection plans.	90
construction managers	Prepare financial documents, reports, or budgets.	90
construction managers	Estimate green project costs.	90
construction managers	Develop sustainable organizational policies or practices.	90
construction managers	Develop procedures to evaluate organizational activities.	90
construction managers	Communicate organizational policies and procedures.	90
construction managers	Estimate labor requirements.	90
construction managers	Manage construction activities.	90
construction managers	Prepare forms or applications.	90
construction managers	Train employees on environmental awareness, conservation, or safety topics.	90
construction managers	Negotiate project specifications.	90
construction managers	Develop operating strategies, plans, or procedures.	90
construction managers	Review blueprints or other instructions to determine operational methods or sequences.	90
construction managers	Supervise employees.	90
construction managers	Prepare operational budgets for green energy or other green operations.	90
construction managers	Determine operational compliance with regulations or standards.	90
construction managers	Model operational processes.	90
construction managers	Analyze data to determine project feasibility.	90
construction managers	Recruit personnel.	90
construction managers	Purchase materials, equipment, or other resources.	90
construction managers	Direct facility maintenance or repair activities.	90
construction managers	Analyze forecasting data to improve business decisions.	90
construction managers	Implement organizational process or policy changes.	90
construction managers	Communicate organizational information to customers or other stakeholders.	90
architectural and engineering managers	Approve expenditures.	88,3
architectural and engineering managers	Manage operations, research, or logistics projects.	88,3
architectural and engineering managers	Manage human resources activities.	88,3
architectural and engineering managers	Present information to the public.	88,3
architectural and engineering managers	Prepare financial documents, reports, or budgets.	88,3
architectural and engineering managers	Develop sustainable organizational policies or practices.	88,3
architectural and engineering managers	Prepare operational budgets.	88,3
architectural and engineering managers	Manage construction activities.	88,3
architectural and engineering managers	Negotiate project specifications.	88,3
architectural and engineering managers	Develop organizational policies or programs.	88,3
architectural and engineering managers	Develop operating strategies, plans, or procedures.	88,3
architectural and engineering managers	Communicate with government agencies.	88,3
architectural and engineering managers	Identify environmental concerns.	88,3
architectural and engineering managers	Promote products, services, or programs.	88,3
architectural and engineering managers	Evaluate environmental impact of operational or development activities.	88,3
architectural and engineering managers	Analyze impact of legal or regulatory changes.	88,3
architectural and engineering managers	Confer with organizational members to accomplish work activities.	88,3
architectural and engineering managers	Analyze data to determine project feasibility.	88,3
architectural and engineering managers	Analyze market research data.	88,3
architectural and engineering managers	Estimate demand for products or services.	88,3
architectural and engineering managers	Purchase materials, equipment, or other resources.	88,3
architectural and engineering managers	Develop organizational goals or objectives.	88,3
architectural and engineering managers	Direct facility maintenance or repair activities.	88,3
architectural and engineering managers	Implement organizational process or policy changes.	88,3
architectural and engineering managers	Communicate organizational information to customers or other stakeholders.	88,3
food service managers	Perform manual service or maintenance tasks.	53,5
food service managers	Monitor activities of individuals to ensure safety or compliance with rules.	53,5
food service managers	Manage human resources activities.	53,5
food service managers	Analyze data to inform operational decisions or activities.	53,5
food service managers	Determine resource needs.	53,5
food service managers	Manage guest services.	53,5
food service managers	Schedule product or material transportation.	53,5
food service managers	Monitor organizational compliance with regulations.	53,5
food service managers	Negotiate sales or lease agreements for products or services.	53,5
food service managers	Estimate cost or material requirements.	53,5
food service managers	Schedule activities or facility use.	53,5
food service managers	Evaluate employee performance.	53,5
food service managers	Collect payments for goods or services.	53,5
food service managers	Resolve customer complaints or problems.	53,5
food service managers	Develop organizational policies or programs.	53,5
food service managers	Prepare staff schedules or work assignments.	53,5
food service managers	Monitor organizational procedures to ensure proper functioning.	53,5
food service managers	Manage organizational or project budgets.	53,5
food service managers	Manage inventories of products or organizational resources.	53,5
food service managers	Recruit personnel.	53,5
food service managers	Purchase materials, equipment, or other resources.	53,5
food service managers	Direct facility maintenance or repair activities.	53,5
food service managers	Maintain regulatory or compliance documentation.	53,5
food service managers	Recommend organizational process or policy changes.	53,5
food service managers	Maintain operational records.	53,5
food service managers	Provide basic information to guests, visitors, or clients.	53,5
food service managers	Evaluate quality of materials or products.	53,5
lodging managers	Perform manual service or maintenance tasks.	50,5
lodging managers	Monitor activities of individuals to ensure safety or compliance with rules.	50,5
lodging managers	Manage guest services.	50,5
lodging managers	Schedule product or material transportation.	50,5
lodging managers	Direct administrative or support services.	50,5
lodging managers	Evaluate employee performance.	50,5
lodging managers	Collect payments for goods or services.	50,5
lodging managers	Conduct employee training programs.	50,5
lodging managers	Coordinate operational activities with external stakeholders.	50,5
lodging managers	Resolve customer complaints or problems.	50,5
lodging managers	Develop organizational policies or programs.	50,5
lodging managers	Prepare staff schedules or work assignments.	50,5
lodging managers	Inspect condition or functioning of facilities or equipment.	50,5
lodging managers	Develop operating strategies, plans, or procedures.	50,5
lodging managers	Manage organizational or project budgets.	50,5
lodging managers	Monitor flow of cash or other resources.	50,5
lodging managers	Promote products, services, or programs.	50,5
lodging managers	Interview employees, customers, or others to collect information.	50,5
lodging managers	Monitor facilities or operational systems.	50,5
lodging managers	Confer with organizational members to accomplish work activities.	50,5
lodging managers	Monitor performance of organizational members or partners.	50,5
lodging managers	Purchase materials, equipment, or other resources.	50,5
lodging managers	Document organizational or operational procedures.	50,5
lodging managers	Implement organizational process or policy changes.	50,5
lodging managers	Maintain operational records.	50,5
lodging managers	Hire personnel.	50,5
lodging managers	Provide basic information to guests, visitors, or clients.	50,5
medical and health services managers	Analyze risks to minimize losses or damages.	30,3
medical and health services managers	Monitor resources.	30,3
medical and health services managers	Manage operations, research, or logistics projects.	30,3
medical and health services managers	Manage human resources activities.	30,3
medical and health services managers	Prepare operational progress or status reports.	30,3
medical and health services managers	Evaluate employee performance.	30,3
medical and health services managers	Develop procedures to evaluate organizational activities.	30,3
medical and health services managers	Prepare operational budgets.	30,3
medical and health services managers	Conduct employee training programs.	30,3
medical and health services managers	Coordinate operational activities with external stakeholders.	30,3
medical and health services managers	Liaise between departments or other groups to improve function or communication.	30,3
medical and health services managers	Develop organizational policies or programs.	30,3
medical and health services managers	Prepare staff schedules or work assignments.	30,3
medical and health services managers	Inspect condition or functioning of facilities or equipment.	30,3
medical and health services managers	Develop operating strategies, plans, or procedures.	30,3
medical and health services managers	Supervise employees.	30,3
medical and health services managers	Monitor facilities or operational systems.	30,3
medical and health services managers	Direct financial operations.	30,3
medical and health services managers	Monitor performance of organizational members or partners.	30,3
medical and health services managers	Recruit personnel.	30,3
medical and health services managers	Maintain knowledge of current developments in area of expertise.	30,3
medical and health services managers	Develop organizational goals or objectives.	30,3
medical and health services managers	Advise others on legal or regulatory compliance matters.	30,3
medical and health services managers	Maintain operational records.	30,3
medical and health services managers	Implement organizational process or policy changes.	30,3
medical and health services managers	Hire personnel.	30,3
medical and health services managers	Develop computer or information systems.	30,3
property real estate and community association managers	Perform manual service or maintenance tasks.	52,7
property real estate and community association managers	Prepare financial documents, reports, or budgets.	52,7
property real estate and community association managers	Negotiate sales or lease agreements for products or services.	52,7
property real estate and community association managers	Evaluate employee performance.	52,7
property real estate and community association managers	Direct organizational operations, projects, or services.	52,7
property real estate and community association managers	Prepare operational budgets.	52,7
property real estate and community association managers	Coordinate operational activities with external stakeholders.	52,7
property real estate and community association managers	Manage construction activities.	52,7
property real estate and community association managers	Prepare forms or applications.	52,7
property real estate and community association managers	Negotiate project specifications.	52,7
property real estate and community association managers	Liaise between departments or other groups to improve function or communication.	52,7
property real estate and community association managers	Resolve customer complaints or problems.	52,7
property real estate and community association managers	Inspect condition or functioning of facilities or equipment.	52,7
property real estate and community association managers	Communicate with government agencies.	52,7
property real estate and community association managers	Supervise employees.	52,7
property real estate and community association managers	Analyze financial records to improve budgeting or planning.	52,7
property real estate and community association managers	Promote products, services, or programs.	52,7
property real estate and community association managers	Confer with organizational members to accomplish work activities.	52,7
property real estate and community association managers	Evaluate characteristics of individuals to determine needs or eligibility.	52,7
property real estate and community association managers	Direct financial operations.	52,7
property real estate and community association managers	Analyze financial records or reports to determine state of operations.	52,7
property real estate and community association managers	Purchase materials, equipment, or other resources.	52,7
property real estate and community association managers	Direct facility maintenance or repair activities.	52,7
property real estate and community association managers	Analyze forecasting data to improve business decisions.	52,7
property real estate and community association managers	Maintain operational records.	52,7
property real estate and community association managers	Communicate organizational information to customers or other stakeholders.	52,7
social and community service managers	Represent the organization in external relations.	31,8
social and community service managers	Coordinate special events or programs.	31,8
social and community service managers	Manage human resources activities.	31,8
social and community service managers	Prepare financial documents, reports, or budgets.	31,8
social and community service managers	Direct administrative or support services.	31,8
social and community service managers	Prepare operational budgets.	31,8
social and community service managers	Resolve customer complaints or problems.	31,8
social and community service managers	Evaluate training programs, instructors, or materials.	31,8
social and community service managers	Develop organizational policies or programs.	31,8
social and community service managers	Develop operating strategies, plans, or procedures.	31,8
social and community service managers	Supervise employees.	31,8
social and community service managers	Promote products, services, or programs.	31,8
social and community service managers	Interview employees, customers, or others to collect information.	31,8
social and community service managers	Analyze impact of legal or regulatory changes.	31,8
social and community service managers	Analyze market research data.	31,8
social and community service managers	Conduct opinion surveys or needs assessments.	31,8
social and community service managers	Monitor performance of organizational members or partners.	31,8
social and community service managers	Establish interpersonal business relationships to facilitate work activities.	31,8
social and community service managers	Recruit personnel.	31,8
social and community service managers	Advise others on legal or regulatory compliance matters.	31,8
social and community service managers	Maintain operational records.	31,8
social and community service managers	Hire personnel.	31,8
wholesale and retail buyers except farm products	Purchase products or services.	52,2
wholesale and retail buyers except farm products	Purchase stocks of merchandise or supplies.	52,2
wholesale and retail buyers except farm products	Authorize financial actions.	52,2
wholesale and retail buyers except farm products	Discuss business strategies, practices, or policies with managers.	52,2
wholesale and retail buyers except farm products	Create marketing materials.	52,2
wholesale and retail buyers except farm products	Negotiate contracts with clients or service providers.	52,2
wholesale and retail buyers except farm products	Identify strategic business investment opportunities.	52,2
wholesale and retail buyers except farm products	Analyze market conditions or trends.	52,2
wholesale and retail buyers except farm products	Confer with personnel to coordinate business operations.	52,2
wholesale and retail buyers except farm products	Analyze consumer trends.	52,2
wholesale and retail buyers except farm products	Research issues related to the environment or sustainable business practices.	52,2
wholesale and retail buyers except farm products	Develop business or market strategies.	52,2
wholesale and retail buyers except farm products	Determine the value of goods or services.	52,2
wholesale and retail buyers except farm products	Supervise employees.	52,2
wholesale and retail buyers except farm products	Disburse funds from clients accounts to creditors.	52,2
wholesale and retail buyers except farm products	Advise others on business or operational matters.	52,2
wholesale and retail buyers except farm products	Train personnel to enhance job skills.	52,2
wholesale and retail buyers except farm products	Evaluate logistics methods to reduce environmental impact.	52,2
wholesale and retail buyers except farm products	Obtain information about goods or services.	52,2
purchasing agents except wholesale retail and farm products	Purchase products or services.	51,5
purchasing agents except wholesale retail and farm products	Evaluate applicable laws and regulations to determine impact on organizational activities.	51,5
purchasing agents except wholesale retail and farm products	Negotiate contracts with clients or service providers.	51,5
purchasing agents except wholesale retail and farm products	Analyze market conditions or trends.	51,5
purchasing agents except wholesale retail and farm products	Develop business relationships.	51,5
purchasing agents except wholesale retail and farm products	Monitor inventories of products or materials.	51,5
purchasing agents except wholesale retail and farm products	Confer with personnel to coordinate business operations.	51,5
purchasing agents except wholesale retail and farm products	Develop technical specifications for systems or equipment.	51,5
purchasing agents except wholesale retail and farm products	Establish organizational guidelines or policies.	51,5
purchasing agents except wholesale retail and farm products	Conduct eligibility or selection interviews.	51,5
purchasing agents except wholesale retail and farm products	Pay charges, fees, or taxes.	51,5
purchasing agents except wholesale retail and farm products	Analyze business or financial data.	51,5
purchasing agents except wholesale retail and farm products	Supervise employees.	51,5
purchasing agents except wholesale retail and farm products	Execute sales or other financial transactions.	51,5
purchasing agents except wholesale retail and farm products	Maintain data in information systems or databases.	51,5
purchasing agents except wholesale retail and farm products	Estimate demand for products or services.	51,5
purchasing agents except wholesale retail and farm products	Train personnel to enhance job skills.	51,5
purchasing agents except wholesale retail and farm products	Obtain information about goods or services.	51,5
purchasing agents except wholesale retail and farm products	Monitor organizational processes.	51,5
compliance officers	Review license or permit applications.	40,5
compliance officers	Communicate with government agencies.	40,5
compliance officers	Maintain knowledge of current developments in area of expertise.	40,5
compliance officers	Collect payments for goods or services.	40,5
compliance officers	Communicate organizational policies and procedures.	40,5
