JobTitle	Skill	MalePercentage
automotive service technicians and mechanics	carry out repairs and maintenance of vehicle bodies	98,1
automotive service technicians and mechanics	perform technical tasks with great care	98,1
automotive service technicians and mechanics	perform manual work autonomously	98,1
automotive service technicians and mechanics	drive vehicles	98,1
automotive service technicians and mechanics	maintain vehicle records	98,1
automotive service technicians and mechanics	execute working instructions	98,1
automotive service technicians and mechanics	use different communication channels	98,1
automotive service technicians and mechanics	carry out repair of vehicles	98,1
automotive service technicians and mechanics	communicate with customers	98,1
bakers	check quality of products on the production line	39,6
bakers	apply HACCP	39,6
bakers	monitor machine operations	39,6
bakers	administer ingredients in food production	39,6
bakers	measure precise food processing operations	39,6
bakers	set up machine controls	39,6
bakers	bake goods	39,6
bakers	store raw food materials	39,6
bakers	monitor flour unloading equipment	39,6
bakers	mould doughs	39,6
bakers	select adequate ingredients	39,6
bakers	knead food products	39,6
bakers	prepare bakery products	39,6
bakers	monitor temperature in farinaceous processes	39,6
bakers	Ensure correct use of bakery equipment	39,6
bakers	clean food and beverage machinery	39,6
bakers	apply flame handling regulations	39,6
bakers	ensure sanitation	39,6
bakers	work according to recipe	39,6
bakers	mark differences in colours	39,6
bakers	tend bakery ovens	39,6
bakers	operate weighing machine	39,6
bakers	follow hygienic procedures during food processing	39,6
bakers	administer lactic ferment cultures to manufacturing products	39,6
bakers	care for food aesthetic	39,6
bakers	apply requirements concerning manufacturing of food and beverages	39,6
bakers	operate mixing of food products	39,6
bakers	maintain cutting equipment	39,6
bakers	apply GMP	39,6
barbers	stay up-to-date with hair style trends	77
barbers	work safely with chemicals	77
barbers	maintain customer service	77
barbers	manage personal professional development	77
barbers	communicate with customers	77
barbers	advise on hair style	77
barbers	maintain equipment	77
barbers	treat facial hair	77
barbers	use equipment for hair care	77
barbers	work ergonomically	77
barbers	style hair	77
barbers	process payments	77
barbers	listen actively	77
bartenders	setup the bar area	46,9
bartenders	serve beers	46,9
bartenders	present drinks menu	46,9
bartenders	comply with food safety and hygiene	46,9
bartenders	detect drug abuse	46,9
bartenders	take food and beverage orders from customers	46,9
bartenders	clear the bar at closing time	46,9
bartenders	handover the service area	46,9
bartenders	stock the bar	46,9
bartenders	handle bar equipment	46,9
bartenders	process payments	46,9
bartenders	enforce alcohol drinking laws	46,9
bartenders	display spirits	46,9
bartenders	serve beverages	46,9
bartenders	identify customer's needs	46,9
bartenders	take payments for bills	46,9
bartenders	execute opening and closing procedures	46,9
bartenders	handle glassware	46,9
bartenders	upsell products	46,9
bartenders	prepare hot drinks	46,9
bartenders	maintain customer service	46,9
bartenders	maintain bar cleanliness	46,9
bill and account collectors	facilitate official agreement	19,2
bill and account collectors	secure sensitive customer's information	19,2
bill and account collectors	show diplomacy	19,2
bill and account collectors	perform debt investigation	19,2
bill and account collectors	keep task records	19,2
bill and account collectors	use communication techniques	19,2
bill and account collectors	calculate debt costs	19,2
bill and account collectors	enforce customer's debt repayment	19,2
bill and account collectors	have computer literacy	19,2
bill and account collectors	assess customers	19,2
bill and account collectors	maintain client debt records	19,2
bill and account collectors	communicate with customers	19,2
bill and account collectors	create solutions to problems	19,2
bill and account collectors	pose questions referring to documents	19,2
billing and posting clerks	maintain customer records	10,5
billing and posting clerks	handle financial transactions	10,5
billing and posting clerks	file documents	10,5
billing and posting clerks	fill out forms	10,5
billing and posting clerks	maintain financial records	10,5
billing and posting clerks	follow up accounts receivables	10,5
billing and posting clerks	allocate bills	10,5
billing and posting clerks	maintain credit history of clients	10,5
billing and posting clerks	organise business documents	10,5
billing and posting clerks	use office systems	10,5
bookkeeping accounting and auditing clerks	observe confidentiality	11,5
bookkeeping accounting and auditing clerks	follow verbal instructions	11,5
bookkeeping accounting and auditing clerks	perform clerical duties	11,5
bookkeeping accounting and auditing clerks	conduct financial audits	11,5
bookkeeping accounting and auditing clerks	adhere to questionnaires	11,5
bookkeeping accounting and auditing clerks	build business relationships	11,5
bookkeeping accounting and auditing clerks	fill out forms	11,5
bookkeeping accounting and auditing clerks	pose questions referring to documents	11,5
bookkeeping accounting and auditing clerks	process commissioned instructions	11,5
bookkeeping accounting and auditing clerks	communicate problems to senior colleagues	11,5
bookkeeping accounting and auditing clerks	identify accounting errors	11,5
bookkeeping accounting and auditing clerks	follow written instructions	11,5
bookkeeping accounting and auditing clerks	ensure continuous preparedness for audits	11,5
bookkeeping accounting and auditing clerks	write work-related reports	11,5
bookkeeping accounting and auditing clerks	prepare audit activities	11,5
bookkeeping accounting and auditing clerks	liaise with managers	11,5
budget analysts	evaluate budgets	39,6
budget analysts	support development of annual budget	39,6
budget analysts	exert expenditure control	39,6
budget analysts	use office systems	39,6
budget analysts	develop financial statistics reports	39,6
budget analysts	assess financial viability	39,6
budget analysts	analyse financial performance of a company	39,6
bus and truck mechanics and diesel engine specialists	re-assemble engines	98,5
bus and truck mechanics and diesel engine specialists	wear appropriate protective gear	98,5
bus and truck mechanics and diesel engine specialists	repair engines	98,5
bus and truck mechanics and diesel engine specialists	disassemble engines	98,5
bus and truck mechanics and diesel engine specialists	bolt engine parts	98,5
bus and truck mechanics and diesel engine specialists	use traditional toolbox tools	98,5
bus and truck mechanics and diesel engine specialists	comply with legal regulations	98,5
bus and truck mechanics and diesel engine specialists	maintain work area cleanliness	98,5
bus and truck mechanics and diesel engine specialists	adjust tightness of engine parts	98,5
bus and truck mechanics and diesel engine specialists	evaluate engine performance	98,5
bus and truck mechanics and diesel engine specialists	diagnose defective engines	98,5
bus and truck mechanics and diesel engine specialists	comply with factory specifications in engine repair	98,5
bus and truck mechanics and diesel engine specialists	perform manual work autonomously	98,5
cabinetmakers and bench carpenters	apply wood finishes	92
cabinetmakers and bench carpenters	tend boring machine	92
cabinetmakers and bench carpenters	design original furniture	92
cabinetmakers and bench carpenters	design objects to be crafted	92
cabinetmakers and bench carpenters	operate wood sawing equipment	92
cabinetmakers and bench carpenters	repair furniture frames	92
cabinetmakers and bench carpenters	clean wood surface	92
cabinetmakers and bench carpenters	operate drilling equipment	92
cabinetmakers and bench carpenters	sand wood	92
cabinetmakers and bench carpenters	create furniture frames	92
cabinetmakers and bench carpenters	join wood elements	92
cabinetmakers and bench carpenters	create smooth wood surface	92
cabinetmakers and bench carpenters	apply a protective layer	92
carpenters	use measurement instruments	97,2
carpenters	interpret 3D plans	97,2
carpenters	apply wood finishes	97,2
carpenters	transport construction supplies	97,2
carpenters	install wood elements in structures	97,2
carpenters	work ergonomically	97,2
carpenters	interpret 2D plans	97,2
carpenters	inspect construction supplies	97,2
carpenters	sort waste	97,2
carpenters	identify wood warp	97,2
carpenters	create wood joints	97,2
carpenters	install wood hardware	97,2
carpenters	join wood elements	97,2
carpenters	follow health and safety procedures in construction	97,2
carpenters	snap chalk line	97,2
carpenters	install construction profiles	97,2
carpenters	use safety equipment in construction	97,2
carpenters	create smooth wood surface	97,2
carpenters	keep track of wooden elements	97,2
carpenters	clean wood surface	97,2
carpenters	keep sawing equipment in good condition	97,2
cashiers	process payments	28,8
cashiers	process refunds	28,8
cashiers	provide customer follow-up services	28,8
cashiers	issue sales invoices	28,8
cashiers	use different communication channels	28,8
cashiers	apply numeracy skills	28,8
cashiers	ensure client orientation	28,8
cashiers	operate cash point	28,8
cashiers	manage theft prevention	28,8
chefs and head cooks	schedule shifts	78
chefs and head cooks	manage stock rotation	78
chefs and head cooks	train employees	78
chefs and head cooks	keep up with eating out trends	78
chefs and head cooks	plan menus	78
chefs and head cooks	monitor the use of kitchen equipment	78
chefs and head cooks	set prices of menu items	78
chefs and head cooks	use cooking techniques	78
chefs and head cooks	develop food waste reduction strategies	78
chefs and head cooks	manage budgets	78
chefs and head cooks	supervise food quality	78
chefs and head cooks	use resource-efficient technologies in hospitality	78
chefs and head cooks	assist customers	78
chefs and head cooks	use reheating techniques	78
chefs and head cooks	perform procurement processes	78
chefs and head cooks	handle customer complaints	78
chefs and head cooks	maintain a safe, hygienic and secure working environment	78
chefs and head cooks	estimate costs of required supplies	78
chefs and head cooks	comply with food safety and hygiene	78
chefs and head cooks	handover the food preparation area	78
chefs and head cooks	manage hospitality revenue	78
chefs and head cooks	recruit employees	78
chefs and head cooks	compile cooking recipes	78
chefs and head cooks	use culinary finishing techniques	78
chefs and head cooks	train staff to reduce food waste	78
chefs and head cooks	manage staff	78
chefs and head cooks	use food preparation techniques	78
chefs and head cooks	control of expenses	78
chefs and head cooks	handle chemical cleaning agents	78
chefs and head cooks	ensure maintenance of kitchen equipment	78
chemical engineers	approve engineering design	85,6
chemical engineers	work with chemicals	85,6
chemical engineers	perform scientific research	85,6
chemical engineers	perform chemical experiments	85,6
chemical engineers	test chemical samples	85,6
chemical engineers	adjust engineering designs	85,6
chemical engineers	forecast organisational risks	85,6
chemical engineers	apply health and safety standards	85,6
chemical engineers	assess environmental impact	85,6
chief executives	develop company strategies	72,4
chief executives	make strategic business decisions	72,4
chief executives	lead managers of company departments	72,4
chief executives	develop organisational policies	72,4
chief executives	imprint visionary aspirations into the business management	72,4
chief executives	analyse financial performance of a company	72,4
chief executives	integrate shareholders' interests in business plans	72,4
chief executives	integrate strategic foundation in daily performance	72,4
chief executives	track key performance indicators	72,4
chief executives	show an exemplary leading role in an organisation	72,4
chief executives	conclude business agreements	72,4
chief executives	analyse business objectives	72,4
chief executives	shape organisational teams based on competencies	72,4
chief executives	shape corporate culture	72,4
chief executives	develop business plans	72,4
chief executives	establish collaborative relations	72,4
chief executives	assume responsibility for the management of a business	72,4
chief executives	negotiate with stakeholders	72,4
chief executives	define organisational standards	72,4
chief executives	interpret financial statements	72,4
chief executives	develop revenue generation strategies	72,4
chief executives	plan medium to long term objectives	72,4
chief executives	liaise with shareholders	72,4
chief executives	strive for company growth	72,4
childcare workers	play with children	6,6
childcare workers	communicate with youth	6,6
childcare workers	attend to children's basic physical needs	6,6
childcare workers	maintain relations with children's parents	6,6
childcare workers	handle chemical cleaning agents	6,6
childcare workers	assist children in developing personal skills	6,6
childcare workers	supervise children	6,6
cleaners of vehicles and equipment	maintain work area cleanliness	84
cleaners of vehicles and equipment	treat vehicle fabrics	84
cleaners of vehicles and equipment	follow procedures to control substances hazardous to health	84
cleaners of vehicles and equipment	clean equipment	84
cleaners of vehicles and equipment	clean vehicle interiors	84
cleaners of vehicles and equipment	clean vehicle exterior	84
cleaners of vehicles and equipment	wash vehicles	84
cleaners of vehicles and equipment	clean vehicle engine	84
cleaners of vehicles and equipment	ensure vehicle preparation for pick-up	84
cleaners of vehicles and equipment	handle chemical cleaning agents	84
cleaners of vehicles and equipment	manage stocked company material	84
cleaners of vehicles and equipment	execute working instructions	84
clergy	foster dialogue in society	79,3
clergy	perform religious rituals	79,3
clergy	perform religious ceremonies	79,3
clergy	apply knowledge of human behaviour	79,3
clergy	provide spiritual counselling	79,3
clergy	build community relations	79,3
clergy	show empathy	79,3
clergy	set organisational policies	79,3
clergy	promote religious activities	79,3
clergy	prepare religious services	79,3
clergy	respond to enquiries	79,3
clergy	show intercultural awareness	79,3
clergy	engage in debates	79,3
clergy	interpret religious texts	79,3
clergy	observe confidentiality	79,3
clergy	supervise religious organisations	79,3
clergy	represent religious institution	79,3
clergy	provide social counselling	79,3
compensation benefits and job analysis specialists	ensure gender equality in the workplace	25
compensation benefits and job analysis specialists	identify with the company's goals	25
compensation benefits and job analysis specialists	develop employee retention programs	25
compensation benefits and job analysis specialists	manage budgets	25
compensation benefits and job analysis specialists	organise staff assessment	25
compensation benefits and job analysis specialists	manage payroll	25
compensation benefits and job analysis specialists	negotiate with employment agencies	25
compensation benefits and job analysis specialists	coordinate operational activities	25
compensation benefits and job analysis specialists	monitor company policy	25
compensation benefits and job analysis specialists	develop training programmes	25
compensation benefits and job analysis specialists	comply with legal regulations	25
compensation benefits and job analysis specialists	support employability of people with disabilities	25
compensation benefits and job analysis specialists	plan medium to long term objectives	25
compensation benefits and job analysis specialists	identify necessary human resources	25
compensation benefits and job analysis specialists	apply company policies	25
compensation benefits and job analysis specialists	promote gender equality in business contexts	25
compensation benefits and job analysis specialists	evaluate training	25
compensation benefits and job analysis specialists	negotiate employment agreements	25
compensation benefits and job analysis specialists	track key performance indicators	25
compliance officers	handle financial transactions	40,5
compliance officers	advise on tax policy	40,5
compliance officers	inspect taxation documents	40,5
compliance officers	inspect tax returns	40,5
compliance officers	assess debtor's financial situation	40,5
compliance officers	perform debt investigation	40,5
compliance officers	inform on fiscal duties	40,5
compliance officers	respond to enquiries	40,5
compliance officers	assess seizable goods	40,5
compliance officers	calculate tax	40,5
compliance officers	collect tax	40,5
compliance officers	handle financial disputes	40,5
computer and information systems managers	analyse information systems	71,3
computer and information systems managers	manage digital libraries	71,3
computer and information systems managers	perform customer management	71,3
computer and information systems managers	develop information standards	71,3
computer and information systems managers	evaluate project plans	71,3
computer and information systems managers	develop solutions to information issues	71,3
computer and information systems managers	assess informational needs	71,3
computer and information systems managers	manage data	71,3
computer and information systems managers	cooperate to resolve information issues	71,3
computer and information systems managers	design information system	71,3
computer and information systems managers	develop organisational information goals	71,3
computer and information systems managers	perform data mining	71,3
computer automated teller and office machine repairers	provide customer information related to repairs	86
computer automated teller and office machine repairers	repair equipment on site	86
computer automated teller and office machine repairers	maintain customer service	86
computer automated teller and office machine repairers	lift heavy weights	86
computer automated teller and office machine repairers	apply company policies	86
computer automated teller and office machine repairers	perform test run	86
computer automated teller and office machine repairers	replace defect components	86
computer automated teller and office machine repairers	identify security threats	86
computer automated teller and office machine repairers	provide customer follow-up services	86
computer automated teller and office machine repairers	perform maintenance on installed equipment	86
computer automated teller and office machine repairers	use repair manuals	86
computer automated teller and office machine repairers	create solutions to problems	86
computer automated teller and office machine repairers	troubleshoot	86
computer hardware engineers	manage findable accessible interoperable and reusable data	77,2
computer hardware engineers	think analytically	77,2
computer hardware engineers	design hardware	77,2
computer hardware engineers	report analysis results	77,2
computer hardware engineers	model hardware	77,2
computer hardware engineers	abide by regulations on banned materials	77,2
computer hardware engineers	design prototypes	77,2
computer hardware engineers	synthesise information	77,2
computer hardware engineers	publish academic research	77,2
computer hardware engineers	communicate with a non-scientific audience	77,2
computer hardware engineers	adjust engineering designs	77,2
computer hardware engineers	prepare production prototypes	77,2
computer hardware engineers	manage research data	77,2
computer hardware engineers	conduct literature research	77,2
computer hardware engineers	manage intellectual property rights	77,2
computer hardware engineers	disseminate results to the scientific community	77,2
computer hardware engineers	demonstrate disciplinary expertise	77,2
computer hardware engineers	speak different languages	77,2
computer hardware engineers	draft scientific or academic papers and technical documentation	77,2
computer hardware engineers	manage personal professional development	77,2
computer hardware engineers	think abstractly	77,2
computer hardware engineers	interact professionally in research and professional environments	77,2
computer hardware engineers	develop professional network with researchers and scientists	77,2
computer hardware engineers	promote inclusion in research	77,2
computer hardware engineers	perform project management	77,2
computer hardware engineers	analyse test data	77,2
computer hardware engineers	write scientific publications	77,2
computer hardware engineers	conduct quality control analysis	77,2
computer hardware engineers	record test data	77,2
computer hardware engineers	use technical drawing software	77,2
computer hardware engineers	operate scientific measuring equipment	77,2
computer hardware engineers	evaluate research activities	77,2
computer hardware engineers	manage open publications	77,2
computer hardware engineers	test hardware	77,2
computer hardware engineers	approve engineering design	77,2
computer hardware engineers	increase the impact of science on policy and society	77,2
computer hardware engineers	operate open source software	77,2
computer hardware engineers	conduct research across disciplines	77,2
computer hardware engineers	promote the transfer of knowledge	77,2
computer hardware engineers	perform scientific research	77,2
computer hardware engineers	perform data analysis	77,2
computer hardware engineers	apply for research funding	77,2
computer hardware engineers	read engineering drawings	77,2
computer hardware engineers	promote open innovation in research	77,2
computer hardware engineers	mentor individuals	77,2
computer hardware engineers	apply research ethics and scientific integrity principles in research activities	77,2
computer hardware engineers	promote the participation of citizens in scientific and research activities	77,2
computer network architects	assess ICT knowledge	90,8
computer network architects	implement a virtual private network	90,8
computer network architects	implement a firewall	90,8
computer network architects	maintain internet protocol configuration	90,8
computer network architects	define technical requirements	90,8
computer network architects	maintain information network hardware	90,8
computer network architects	develop creative ideas	90,8
computer network architects	design computer network	90,8
computer network architects	use an application-specific interface	90,8
computer network architects	identify suppliers	90,8
computer network architects	analyse business requirements	90,8
computer network architects	design ICT hardware placement	90,8
computer network architects	provide technical documentation	90,8
computer network architects	use back-up and recovery tools	90,8
computer network architects	implement ICT safety policies	90,8
computer network architects	adjust ICT system capacity	90,8
computer network architects	forecast future ICT network needs	90,8
computer network architects	analyse network bandwidth requirements	90,8
computer network architects	implement ICT network diagnostic tools	90,8
computer network architects	design process	90,8
computer network architects	define ICT network design policies	90,8
computer programmers	use technical drawing software	79,7
computer programmers	develop software prototype	79,7
computer programmers	use software libraries	79,7
computer programmers	analyse software specifications	79,7
computer programmers	debug software	79,7
computer programmers	create flowchart diagram	79,7
computer programmers	use an application-specific interface	79,7
computer programmers	perform scientific research	79,7
computer programmers	use software design patterns	79,7
computer programmers	identify customer requirements	79,7
computer programmers	utilise computer-aided software engineering tools	79,7
computer programmers	define technical requirements	79,7
computer programmers	manage engineering project	79,7
computer programmers	provide technical documentation	79,7
computer programmers	interpret technical requirements	79,7
computer programmers	develop automated migration methods	79,7
computer systems analysts	analyse software specifications	59,9
computer systems analysts	manage system testing	59,9
computer systems analysts	design information system	59,9
computer systems analysts	analyse business processes	59,9
computer systems analysts	identify customer requirements	59,9
computer systems analysts	monitor system performance	59,9
computer systems analysts	define technical requirements	59,9
computer systems analysts	use an application-specific interface	59,9
computer systems analysts	apply statistical analysis techniques	59,9
computer systems analysts	solve ICT system problems	59,9
computer systems analysts	create data models	59,9
computer systems analysts	execute feasibility study	59,9
computer systems analysts	identify ICT system weaknesses	59,9
computer systems analysts	perform ICT security testing	59,9
computer systems analysts	analyse the context of an organisation	59,9
computer systems analysts	interact with users to gather requirements	59,9
computer systems analysts	analyse ICT system	59,9
computer systems analysts	manage ICT legacy implication	59,9
construction and building inspectors	check construction compliance	89,6
construction and building inspectors	manage health and safety standards	89,6
construction and building inspectors	inspect building systems	89,6
construction and building inspectors	liaise with local authorities	89,6
construction and building inspectors	read standard blueprints	89,6
construction and building inspectors	communicate problems to senior colleagues	89,6
construction and building inspectors	write inspection reports	89,6
construction and building inspectors	use safety equipment in construction	89,6
construction laborers	install construction profiles	96,5
construction laborers	dig soil mechanically	96,5
construction laborers	install wood elements in structures	96,5
construction laborers	place drywall	96,5
construction laborers	use safety equipment in construction	96,5
construction laborers	check compatibility of materials	96,5
construction laborers	mix concrete	96,5
construction laborers	move soil	96,5
construction laborers	prepare surface for plastering	96,5
construction laborers	inspect construction supplies	96,5
construction laborers	work in a construction team	96,5
construction laborers	apply finish to concrete	96,5
construction laborers	operate digging construction equipment	96,5
construction laborers	prepare surface for painting	96,5
construction laborers	prepare wall for wallpaper	96,5
construction laborers	follow health and safety procedures in construction	96,5
construction laborers	inspect masonry work	96,5
construction laborers	pour concrete	96,5
construction laborers	transport construction supplies	96,5
construction managers	identify construction materials from blueprints	90
construction managers	plan construction of houses	90
construction managers	check construction compliance	90
construction managers	advise on construction materials	90
construction managers	prepare construction documents	90
construction managers	apply safety management	90
construction managers	ensure compliance with legal requirements	90
construction managers	oversee construction project	90
construction managers	review construction projects	90
construction managers	identify customer's needs	90
construction managers	manage contracts	90
construction managers	work in a construction team	90
construction managers	communicate with construction crews	90
construction managers	calculate needs for construction supplies	90
construction managers	interpret technical requirements	90
cost estimators	execute analytical mathematical calculations	85,7
cost estimators	assess financial viability	85,7
cost estimators	provide cost benefit analysis reports	85,7
counter and rental clerks	provide customers with price information	57,4
counter and rental clerks	identify customer's needs	57,4
counter and rental clerks	provide customer follow-up services	57,4
counter and rental clerks	review completed contracts	57,4
counter and rental clerks	apply numeracy skills	57,4
counter and rental clerks	assist customers	57,4
counter and rental clerks	perform multiple tasks at the same time	57,4
counter and rental clerks	process data	57,4
counter and rental clerks	manage claims process	57,4
counter and rental clerks	guarantee customer satisfaction	57,4
counter and rental clerks	handle financial transactions	57,4
counter and rental clerks	have computer literacy	57,4
counter and rental clerks	communicate with customers	57,4
counter and rental clerks	handle rental overdues	57,4
counter and rental clerks	record customers' personal data	57,4
counter and rental clerks	maintain inventory of rented items	57,4
counter and rental clerks	work independently in rental services	57,4
counter and rental clerks	process payments	57,4
counter and rental clerks	achieve sales targets	57,4
couriers and messengers	ensure the integrity of mail	79,3
couriers and messengers	interpret traffic signals	79,3
couriers and messengers	act reliably	79,3
couriers and messengers	differentiate types of packages	79,3
couriers and messengers	drive two-wheeled vehicles	79,3
couriers and messengers	analyse travel alternatives	79,3
couriers and messengers	obey traffic rules	79,3
couriers and messengers	communicate with customers	79,3
court municipal and license clerks	respond to enquiries	24,7
court municipal and license clerks	brief court officials	24,7
court municipal and license clerks	comply with legal regulations	24,7
court municipal and license clerks	record court procedures	24,7
court municipal and license clerks	compile legal documents	24,7
court municipal and license clerks	assist judge	24,7
court municipal and license clerks	send summons	24,7
